Echantillon,'Type de roche',CaO+MgO,Al2O3,TiO2,Fe2O3*,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Zn,Pb,Cu,As,Cd,Cr,Ni,Sc,V,Ba,Sr,Li,' Rb ',Y,Zr,Nb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
104-02RM633.2.3C,'R.carbonatees & R.carbonatees impures',47.03,0.07,0.001,0.16,0.03,19.59,27.44,0.02,0.03,0.16,176,19,2930.5,2,32.111481,8.955172,3.1,16.838983,2.046939,6.6,3.9,59.2,2,1.43,3.3,0.9,0.1,0.1,1.4,1.2,0.3,1.2,0.2,0.1,0.3,0,0.3,0.1,0.2,0,0.1,0,0,0,0,1.9
106-02RM634.1.3A,'R.carbonatees & R.carbonatees impures',46.96,0.07,0.003,0.07,0.01,19.57,27.39,0.03,0.03,0.05,141,4,2930.5,1,3.3,8.955172,2.1,16.838983,0.2,18.717241,6,51.3,2.5,0.62,2,1,0.1,0,1.2,1,0.2,0.9,0.2,0,0.2,0,0.2,0,0.1,0,0.1,0,0,0,0.1,2
107-02RM635.1.3C,'R.carbonatees & R.carbonatees impures',46.9,0.02,0,0.07,0.02,19.75,27.15,0.01,0.01,0.02,8011.905263,6,2930.5,170.125,32.111481,8.955172,3.6,16.838983,2.046939,18.717241,2.3,22.6,6.108333,0.25,1.5,0.3,0.1,0,1,0.5,0.3,0.4,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,0.5
36-02BD333.1.3B,'R.carbonatees & R.carbonatees impures',46.89,0.13,0.005,0.32,0.02,19.59,27.3,0.02,0.05,0.01,1884,700.073684,7,2,7.2,8.955172,3.8,16.838983,0.6,2.9,12.1,44.4,1,0.8,3.5,1.5,0.2,0,2.3,2.3,0.6,2.4,0.4,0.1,0.4,0.1,0.4,0.1,0.3,0,0.2,0,0,0,0.2,1.7
140-02YH030.1.3A,'R.carbonatees & R.carbonatees impures',46.79,0.01,0,0.15,0.02,19.36,27.43,0.02,0.01,0.04,275,4,2930.5,3,32.111481,8.955172,3.9,2.5,2.046939,0.4,12.6,62.2,6.108333,0.1,1.8,0.6,0.6,0,0.9,0.8,0.2,0.6,0.1,0,0.1,0,0.2,0,0.1,0,0.1,0,0,0,0,1
57-02RM602.5.3F,'R.carbonatees & R.carbonatees impures',46.77,0.04,0.001,0.26,0.03,19.7,27.07,0.02,0.01,0.12,667,1,2930.5,170.125,32.111481,8.955172,4.1,16.838983,2.046939,4.9,3.8,71,6.108333,0.09,3.6,1,0.1,0,1.5,1.3,0.3,1.3,0.2,0.1,0.3,0,0.4,0.1,0.3,0,0.2,0,0,0,0,2.4
70-02RM608.1.3A,'R.carbonatees & R.carbonatees impures',46.76,0.03,0.001,0.16,0.02,19.44,27.33,0.02,0.01,0.02,93,2,11,1,32.111481,8.955172,4.8,16.838983,2.046939,1.8,11.2,52,6.108333,0.13,3,0.5,0.1,0,1.8,1.5,0.4,1.2,0.3,0.1,0.2,0,0.3,0.1,0.2,0,0.1,0,0,0,0,1.8
115-02YH012.2.3A,'R.carbonatees & R.carbonatees impures',46.74,0.16,0.005,0.29,0.09,19.48,27.26,0.07,0.06,0.09,402,7,2930.5,170.125,9.2,8.955172,1.4,3.5,0.2,3.8,14.8,90.5,2.8,1.24,5.7,1.9,0.2,0.1,2,2.5,0.6,2.3,0.5,0.1,0.5,0.1,0.6,0.1,0.4,0,0.2,0,0,0,0.2,1.4
75-02RM616.1.3A,'R.carbonatees & R.carbonatees impures',46.53,0.02,0.042667,0.25,0.02,19.59,26.93,0.02,0.01,0.03,790,4,2930.5,2,32.111481,8.955172,6.2,2.9,2.046939,2.5,3.8,44.3,6.108333,0.2,2,0.4,0.2,0,1,0.8,0.2,0.7,0.1,0,0.2,0,0.2,0,0.1,0,0.1,0,0,0,0,1.1
77-02RM617.1.3B,'R.carbonatees & R.carbonatees impures',46.36,0.5,0.03,0.87,0.61,19,27.37,0.03,0.2,0.04,1273,36,32,2,32.111481,0.4,20.7,6.5,0.6,2.9,139.7,68.8,5.9,3.9,9.7,5.7,0.8,0.1,4.9,6.5,1,3.2,0.8,0.2,0.9,0.2,1.1,0.2,0.7,0.1,0.5,0.1,0.1,0,0.6,0.4
81-02RM621.1.3B,'R.carbonatees & R.carbonatees impures',46.34,0.02,0,0.14,0.01,19.32,27.02,0.03,0,0.01,200,1,2930.5,170.125,32.111481,8.955172,1.9,16.838983,2.046939,18.717241,2.5,48.8,6.108333,0.1,1.7,0.6,0.1,0,0.8,0.5,0.2,0.6,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,2
82-02RM622.1.3A,'R.carbonatees & R.carbonatees impures',46.24,0.28,0.01,0.26,0.03,19.3,26.94,0.03,0.12,0.22,836,1,2930.5,1,7.6,8.955172,5.6,4,0.3,3.9,43.9,53.9,4.8,3.3,4.8,4.1,0.5,0.1,2.7,2.6,0.7,2.5,0.5,0.1,0.5,0.1,0.5,0.1,0.3,0,0.2,0,0.1,0,0.2,4.4
84-02RM625.1.3A,'R.carbonatees & R.carbonatees impures',46.18,0.01,0.042667,0.14,0.03,19.3,26.88,0.02,0,0.01,177,75,16,1,32.111481,0.6,4,16.838983,2.046939,18.717241,4.3,48.8,6.108333,0.02,1.8,0.2,0.1,0,0.9,0.6,0.2,0.6,0.1,0,0.1,0,0.2,0,0.1,0,0.1,0,0,0,0,1.5
87-02RM626.2.3A,'R.carbonatees & R.carbonatees impures',46.12,0.02,0,0.17,0.02,19.26,26.86,0.02,0.01,0.01,631,2,7,170.125,32.111481,8.955172,2.4,16.838983,2.046939,1.1,3.8,54.6,6.108333,0.18,1.8,0.5,0.1,0,0.8,0.6,0.2,0.6,0.1,0,0.1,0,0.2,0,0.1,0,0.1,0,0,0,0,1.7
89-02RM627.2.3B,'R.carbonatees & R.carbonatees impures',45.6,0.9,0.062,1.84,0.34,18.44,27.15,0.03,0.79,0.03,891,5,2930.5,4,32.111481,8.955172,8.4,4.9,1.1,5.7,141.7,64.3,1.8,10.7,4,14.6,1.5,0.1,2.9,5.9,0.8,3.4,0.8,0.2,1,0.1,0.8,0.1,0.4,0,0.3,0,0.4,0.1,0.7,0.2
90-02RM627.3.3B,'R.carbonatees & R.carbonatees impures',45.53,0.45,0.007,0.4,0.05,9.06,36.47,0.03,0.06,19.64,1364,5,12,2,32.111481,8.955172,7.7,4,0.4,9,28.2,207.4,7.5,1.9,42.3,2.2,0.4,0.2,32.7,28,5.3,22.8,3.3,1,4.3,0.6,4.4,1.1,3.5,0.4,1.8,0.2,0.1,0,5.4,885.9
91-02RM628.1.3A,'R.carbonatees & R.carbonatees impures',45.49,0.05,0.002,0.23,0.01,18.86,26.63,0.01,0.03,0.04,8011.905263,3,2930.5,2,32.111481,8.955172,1.5,16.838983,0.3,18.717241,11.2,18.6,6.108333,0.46,2.4,0.9,0.1,0,1.2,1.2,0.3,1,0.2,0,0.2,0,0.2,0,0.1,0,0.1,0,0,0,0,1.1
92-02RM629.1.3B,'R.carbonatees & R.carbonatees impures',45.43,0.07,0.001,0.09,0.02,19.17,26.26,0.02,0.04,0.01,209,700.073684,2930.5,170.125,32.111481,8.955172,2.6,16.838983,0.3,1.6,4.9,46.7,2.8,0.97,2.3,0.8,0.4,0.1,1.5,1.3,0.3,1.2,0.2,0.1,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,1.7
93-02RM629.2.3B,'R.carbonatees & R.carbonatees impures',44.78,0.14,0.006,0.08,0.02,18.8,25.98,0.02,0.06,0.01,297,60,2930.5,2,32.111481,8.955172,2.9,16.838983,0.3,3.6,20.3,54.7,0.5,0.86,2.6,2.1,0.3,0,1.6,1.4,0.4,1.2,0.2,0.1,0.2,0,0.3,0.1,0.2,0,0.1,0,0,0,0.1,1
95-02RM630.1.3A,'R.carbonatees & R.carbonatees impures',44.47,0.02,0,0.17,0.02,18.51,25.96,0.02,0,0.01,158,3,6,2,32.111481,8.955172,2.2,16.838983,0.2,1.8,5.3,58.4,6.108333,0.08,1.8,0.6,0.1,0,0.8,0.6,0.2,0.6,0.1,0,0.1,0,0.2,0,0.1,0,0.1,0,0,0,0,1.5
105-02RM633.3.3C,'R.carbonatees & R.carbonatees impures',44.12,0.04,0.001,0.23,0.03,18.42,25.7,0.02,0.01,0.02,630,3,2930.5,3,32.111481,8.955172,1.7,16.838983,2.046939,1.8,3,57.5,0.6,0.46,2.1,0.8,0.1,0,1,0.8,0.2,0.8,0.2,0,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,1.7
108-02RM636.1.3B,'R.carbonatees & R.carbonatees impures',43.3,0.03,0.001,0.12,0.01,18.1,25.21,0.02,0,0,244,2,2930.5,2,32.111481,8.955172,9.4,16.838983,2.046939,18.717241,3.1,58.1,6.108333,0.11,1.8,0.9,0.1,0,1,0.6,0.2,0.5,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,1.9
110-02RM639.1.3B,'R.carbonatees & R.carbonatees impures',43.14,0.24,0.011,0.24,0.02,18.52,24.62,0.02,0.17,0.13,1137,41,43,3,9.2,8.955172,4.3,8.6,0.4,10.3,6.3,55.2,1.9,1.6,7.4,2.6,0.2,0.1,2.8,3.3,0.6,2.2,0.5,0.2,0.7,0.1,0.8,0.2,0.6,0.1,0.5,0.1,0.1,0,0.2,0.5
118-02YH014.1.3B,'R.carbonatees & R.carbonatees impures',42.83,0.47,0.018,0.16,0.02,17.78,25.05,0.02,0.37,0.03,842,5,6,7,32.111481,8.955172,6.6,7.5,0.7,16.2,20.7,80.9,1.9,2.94,14.8,4.2,0.4,0.1,4.8,6,1.1,4.5,1.1,0.3,1.6,0.3,1.9,0.4,1.4,0.2,1.1,0.2,0.1,0,0.4,1.6
119-02YH014.2,'R.carbonatees & R.carbonatees impures',42.71,0.23,0.012,0.76,0.14,17.98,24.73,0.02,0.1,0.01,1154,3,2930.5,4,18.1,8.955172,2.7,9.5,0.4,14.3,16.5,57.6,4.2,2.2,3.6,2.8,0.4,0.1,1.9,1.5,0.4,1.5,0.3,0.1,0.3,0,0.3,0.1,0.3,0,0.2,0,0.1,0,0.2,3.1
120-02YH014.3,'R.carbonatees & R.carbonatees impures',39.45,0.05,0.001,0.21,0.01,16.64,22.81,0.01,0.03,0.02,8011.905263,3,2930.5,1,32.111481,8.955172,53.6,16.838983,0.2,18.717241,8,17,6.108333,0.5,1.8,0.7,0.1,0,0.9,1,0.3,0.7,0.2,0,0.2,0,0.2,0,0.1,0,0.1,0,0,0,0,0.7
124-02YH017.2.3A,'R.carbonatees & R.carbonatees impures',38.01,1.01,0.042,0.42,0.01,15.78,22.23,0.02,0.75,0.16,1124,3,2930.5,5,8.3,8.955172,12.1,5.7,1.4,8.1,28.1,41,4.5,7.2,9.2,10.8,0.9,0.3,5.4,8.6,1.3,5.2,1,0.2,1.2,0.2,1.2,0.2,0.7,0.1,0.5,0.1,0.3,0.1,0.9,1
130-02YH023.1.3A,'R.carbonatees & R.carbonatees impures',30.18,0.04,0.001,0.28,0.04,12.75,17.43,0.01,0.01,0.03,391,3,8,2,32.111481,8.955172,3.7,16.838983,0.2,2.6,5.2,32.6,1.8,0.3,2.3,0.5,0.1,0,1,0.7,0.3,0.7,0.2,0,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,1.5
133-02YH025.2.3B,'R.carbonatees & R.carbonatees impures',29.88,0.62,0.004,0.23,0.03,12.86,17.02,0.02,0.14,0.45,1288,188,2930.5,2,32.111481,1.5,3.9,21.5,0.3,23.4,17.3,36.6,8.5,3.6,8.3,1.8,0.2,0.4,3.8,4.8,1,5.1,0.9,0.2,1.1,0.1,0.9,0.2,0.6,0.1,0.3,0,0,0,0.1,2.6
86-02RM626.1.3B,Pyrite,43.75,0.03,0.002,2.47,0.07,18.11,25.64,0.02,0.01,0.03,17101,5,2930.5,2,24,0.4,2.3,7.7,2.046939,1.3,4.7,89,6.108333,0.2,2.6,1,0.1,0,1.2,1.3,0.3,1,0.2,0.1,0.2,0,0.3,0.1,0.2,0,0.1,0,0,0,0,0.9
96-02RM631.1.3A,Pyrite,45.83,0.02,0,2.14,0.02,19.26,26.57,0.02,0,0.01,14285,25,7,2,11,0.4,3.1,3.4,2.046939,3.6,2.4,60.5,6.108333,0.1,1.6,0.4,0.1,0,0.8,0.5,0.2,0.5,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0,0,0.8
10-02BD311.1.3A,Pyrite,45.83,1.1,0.046,0.78,0.01,19.43,26.4,0.02,0.8,0.02,4318,7,2930.5,4,32.111481,0.1,7.5,7.4,2,19.2,40.1,33.2,17.1,15.2,9.2,18.4,1.2,0.5,5.4,9.3,1.4,6.4,1.5,0.3,1.7,0.2,1.6,0.3,1,0.1,0.7,0.1,0.5,0.1,0.9,1.8
6-02BD304.2.3E,Pyrite,34.12,1.42,0.044,7.35,0.59,13.43,20.69,0.04,0.48,0.04,29649,10,26,201,62.3,0.7,10.7,69.8,2.4,29.5,146,71,6.9,10.9,10,8.7,1.4,0.3,7.5,16.2,2,8.8,2.1,0.3,2.4,0.3,2.1,0.4,1.1,0.1,0.8,0.1,0.2,0.1,0.6,0.5
7-02BD304.3.3G1/G2,Chalcopyrites,26.67,0.33,0.014,3.45,0.37,7.42,19.25,0.04,0.01,0,5726,14,2,7005,32.111481,0.4,4.1,16.7,4.6,6.9,10.7,69.9,1.6,0.2,42.6,3.4,0.3,0.1,2.7,6.1,1,5.3,2.5,0.3,5.3,1.2,9.7,2.2,6.9,0.9,5.7,0.7,0.1,0,0.2,0.6
13-02BD313.2.3B,Chalcopyrites,31.48,0.85,0.033,15.95,0.54,9.08,22.4,0.03,0.4,0.01,29379,13,2930.5,6407,32.111481,1.7,10.1,135,2.6,36.7,19.5,304.4,0.7,9.3,23,8.8,0.5,0.2,7,18.3,2.9,13.7,4.7,2.7,6.1,1,5.7,1,2.6,0.3,1.5,0.2,0.3,0,0.6,0.5
131-02YH024.1.3A1/A2,Galene,47.27,0.09,0.003,0.46,0.03,19.79,27.48,0.02,0.03,0.03,2158,1919,6112,3,9.2,7.9,10.612632,16.838983,0.3,3.8,181.6,72.2,6.108333,0.4,3.4,1.5,0.3,0.1,1.6,1.3,0.4,1.3,0.3,0.1,0.3,0,0.3,0.1,0.2,0,0.1,0,0,0,0.1,2
134-02YH026.1.3A,Galene,13.96,0.1,0.001,41.34,0.02,5.09,8.87,0.01,0.07,0,324570,13715,10617,42,39.4,57.1,9.6,47.4,2.046939,18.717241,4,41.9,6.4,2.9,3,0.3,0.1,0.3,2,1.6,0.2,1,0.2,0.1,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,0.8
101-02RM632.3.3D1,Galene,37.93,0.02,0,1.84,0.04,15.83,22.1,0.01,0.01,0.02,16244,31969,106331,302,116.2,112.5,10.612632,16.838983,2.046939,1.3,4.4,44.1,6.108333,0.2,1.5,0.3,0.1,0,0.7,0.6,0.2,0.5,0.1,0,0.1,0,0.2,0,0.1,0,0.1,0,0,0,0,0.6
103-02RM633.1.3B,Spahlerite,43.11,0.04,0,0.52,0.07,17.95,25.16,0.01,0.01,0.06,1632,2314,6,6,32.111481,12.5,2.7,3.9,2.046939,1,4.2,69.5,6.108333,0.2,3,0.4,0.1,0,1.3,1.2,0.3,1.1,0.2,0.1,0.3,0,0.3,0.1,0.2,0,0.1,0,0,0,0,2.1
27-02BD329.3.3A3,Spahlerite,49.08,0.18,0.006,0.35,0.09,20.63,28.45,0.02,0.09,0,791,2477,6,2,32.111481,5.8,4.5,3.8,0.4,17.7,39.1,67.6,2.7,1.8,2.5,2.5,0.8,0.1,1.4,1.5,0.3,1.3,0.2,0.1,0.3,0,0.3,0.1,0.2,0,0.2,0,0.1,0.1,0.1,1.5
102-02RM632.3.3D2,Spahlerite,43.19,0.01,0,1.7,0.02,18.09,25.1,0.02,0,0.01,13165,12521,5277,22,59.5,47,10.612632,16.838983,2.046939,18.717241,2.7,42.3,6.108333,0.1,1.7,0.3,0.1,0,0.9,0.6,0.2,0.5,0.1,0,0.1,0,0.2,0,0.1,0,0.1,0,0,0,0,0.8
9-02BD310.1.3A,'Sediments terrigenes',3.63,2.65,0.092,15.59,0.02,2.77,0.86,0.1,0.84,0.06,3321,25,7,9,9.11,1.6,20.1,13.3,2.5,45,53.1,12.5,12.9,45.4,5,24.9,5,3.7,10.5,18.6,2.6,9.8,1.7,0.4,1.6,0.2,1.1,0.2,0.6,0.1,0.6,0.1,0.6,0.4,2.6,0.5
142-02YH032.1.3A,'Sediments terrigenes',3.17,6.36,0.3,0.67,0,2.82,0.34,0.07,2.45,0.06,2888,111,21,51,80.5,0.6,115.5,126.5,6.3,383.6,249.5,10.5,83.1,36.5,21.8,53.1,4.9,2.3,19.4,29.1,4.7,19.6,3.7,0.7,4,0.5,3.7,0.8,2.5,0.4,2.3,0.4,1.3,0.5,3.5,10.3
12-02BD313.1.3A,'Sediments terrigenes',0.64,9,0.618,25.82,0,0.6,0.05,0.36,4.23,0.01,209851,23,76,331,121,3,79.7,226.1,13.8,372.4,191.4,15.8,9.6,55.5,6.3,60.5,6,0.8,9,19.7,2.4,9.3,1.6,0.3,1.4,0.2,1.3,0.3,0.9,0.1,0.9,0.1,2,0.5,2.5,2.3
20-02BD322.1.3A,'Sediments terrigenes',2,9.71,0.598,5.95,0,1.9,0.1,0.26,4.98,0.06,38791,73,27,96,22.1,1.2,64.7,56.7,13.2,61,1433.7,20.7,25.7,92.1,8.1,119.3,9.6,3,17.5,35.9,4.2,14.3,2.2,0.4,1.9,0.3,1.5,0.3,1.1,0.2,1.1,0.2,3.3,0.6,7.4,2.3
112-02YH009.1.3A,'Sediments terrigenes',2.34,13.54,0.863,3.37,0.01,1.59,0.76,0.3,8.03,0.08,13769,11,11,5,25.5,0.5,105.2,40.5,21.9,153.8,565.1,40.2,0.3,105.2,22.1,163.7,10.9,1.3,29.2,68.1,7.3,27.3,5.2,1.1,4.9,0.7,3.9,0.8,2.6,0.4,2.6,0.4,3.9,0.4,11.7,3.9
126-02YH019,'Sediments terrigenes',24.67,7.76,0.285,3.09,0.05,11.06,13.61,0.69,2.65,0.08,275,37,2930.5,4,32.111481,0.6,49.9,17.1,6.8,36.2,561.9,133.3,28.9,65.8,13.6,52.9,6,1.3,21.5,35.9,4.9,18.9,3.2,0.8,3.4,0.4,2.5,0.5,1.4,0.2,1,0.1,1.3,0.4,5.3,1.2
123-02YH016.2.3D,'Sediments terrigenes',2.08,12.01,0.097,0.58,0.02,1.07,1.01,3.76,3.45,0.03,184,13,7,2,32.111481,0.6,6.8,7,1.2,7.6,2104,188,12.7,88.42,1.4,45.2,4.2,0.8,3.1,5.9,0.7,2.4,0.4,0.3,0.7,0,0.3,0.1,0.2,0,0.2,0,1.2,0.2,3.4,0.5
5-02BD304.1.3A2,'Sediments terrigenes',0.48,13.23,0.538,0.98,0,0.42,0.06,0.13,9.65,0.08,652,10,6,288,185,0.7,60.1,11.5,4.8,73.3,4333.8,18.9,7.1,111.61,11.9,148.4,11.5,0.9,35.6,70.7,8.3,30.6,4.6,0.8,4,0.4,2.3,0.5,1.5,0.2,1.4,0.2,4.8,0.7,8.6,17.5
116-02YH013.1.3B,'Sediments terrigenes',39.43,1.92,0.087,0.58,0.02,16.6,22.84,0.03,1.37,0.03,314,9,2930.5,5,32.111481,8.955172,16.6,7,1.9,8.6,178.4,29.1,5.5,19.28,5.4,46.9,2.1,0.6,5.3,8.4,1.2,4.2,0.8,0.2,0.8,0.1,0.7,0.2,0.5,0.1,0.4,0.1,1,0.1,1.8,0.5
11-02BD312.1.3A,'R.carbonatees & R.carbonatees impures',33.8,3.61,0.099,1.16,0.03,5.13,28.67,1.13,0.66,0.09,1222,16,3,5,32.111481,0.3,13.1,7.8,2.8,14,184.1,568,10,20.3,24,41.7,2.2,0.6,27.3,45.4,7.2,30.4,5.7,1,5.7,0.8,4.4,0.9,2.4,0.3,1.8,0.2,1.1,0.1,2.3,0.9
